date,geo_region,channel,spend,impressions,clicks
2025-01-01,US-East,Google_Search,1019.92,34000,680
2025-01-01,US-East,Meta_IG,605.17,18200,364
2025-01-01,US-East,TikTok,624.64,20500,410
2025-01-01,US-West,Google_Search,761.46,47500,950
2025-01-01,US-West,Meta_IG,772.53,43650,873
2025-01-01,US-West,TikTok,876.91,67200,1344
2025-01-01,US-Midwest,Google_Search,414.51,24900,498
2025-01-01,US-Midwest,Meta_IG,874.93,53450,1069
2025-01-01,US-Midwest,TikTok,1056.59,47850,957
2025-01-01,EU-West,Google_Search,328.57,8400,168
2025-01-01,EU-West,Meta_IG,1197.64,82450,1649
2025-01-01,EU-West,TikTok,978.56,26900,538
2025-01-01,APAC-North,Google_Search,422.77,13950,279
2025-01-01,APAC-North,Meta_IG,1115.05,108350,2167
2025-01-01,APAC-North,TikTok,988.76,49400,988
2025-01-02,US-East,Google_Search,707.23,18200,364
2025-01-02,US-East,Meta_IG,912.35,27750,555
2025-01-02,US-East,TikTok,1170.72,41800,836
2025-01-02,US-West,Google_Search,968.43,25250,505
2025-01-02,US-West,Meta_IG,1089.24,64600,1292
2025-01-02,US-West,TikTok,1170.04,92050,1841
2025-01-02,US-Midwest,Google_Search,907.64,42400,848
2025-01-02,US-Midwest,Meta_IG,864.75,33850,677
2025-01-02,US-Midwest,TikTok,515.77,44850,897
2025-01-02,EU-West,Google_Search,1180.01,85550,1711
2025-01-02,EU-West,Meta_IG,558.19,30200,604
2025-01-02,EU-West,TikTok,592.51,23900,478
2025-01-02,APAC-North,Google_Search,991.49,84400,1688
2025-01-02,APAC-North,Meta_IG,921.66,25300,506
2025-01-02,APAC-North,TikTok,484.18,14500,290
2025-01-03,US-East,Google_Search,651.62,61200,1224
2025-01-03,US-East,Meta_IG,881.72,28150,563
2025-01-03,US-East,TikTok,1171.05,29500,590
2025-01-03,US-West,Google_Search,762.88,19550,391
2025-01-03,US-West,Meta_IG,1174.88,32300,646
2025-01-03,US-West,TikTok,404.59,11400,228
2025-01-03,US-Midwest,Google_Search,381.17,9550,191
2025-01-03,US-Midwest,Meta_IG,937.26,48750,975
2025-01-03,US-Midwest,TikTok,751.33,51150,1023
2025-01-03,EU-West,Google_Search,1155.19,35700,714
2025-01-03,EU-West,Meta_IG,763.82,45200,904
2025-01-03,EU-West,TikTok,376.01,19100,382
2025-01-03,APAC-North,Google_Search,989.35,53000,1060
2025-01-03,APAC-North,Meta_IG,395.71,31250,625
2025-01-03,APAC-North,TikTok,694.15,35300,706
2025-01-04,US-East,Google_Search,684.31,28600,572
2025-01-04,US-East,Meta_IG,410.58,26300,526
2025-01-04,US-East,TikTok,483.21,21750,435
2025-01-04,US-West,Google_Search,1101.29,36450,729
2025-01-04,US-West,Meta_IG,809.98,24550,491
2025-01-04,US-West,TikTok,510.99,14300,286
2025-01-04,US-Midwest,Google_Search,357.03,25050,501
